CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor	ensembl_gene_id	mgi_symbol	SYMBOL	GENENAME
Pcdhb8	7	18	41	8	49	22	ENSMUSG00000045876	Pcdhb8	Pcdhb8	protocadherin beta 8
Pcdhb9	40	50	21	31	48	43	ENSMUSG00000051242	Pcdhb9	Pcdhb9	protocadherin beta 9
Pcdhb10	20	12	27	20	20	25	ENSMUSG00000045657	Pcdhb10	Pcdhb10	protocadherin beta 10
Pcdhb11	43	24	29	25	28	21	ENSMUSG00000051486	Pcdhb11	Pcdhb11	protocadherin beta 11
Pcdhb12	20	51	20	15	30	35	ENSMUSG00000043458	Pcdhb12	Pcdhb12	protocadherin beta 12
Pcdhb13	48	15	36	23	30	35	ENSMUSG00000047307	Pcdhb13	Pcdhb13	protocadherin beta 13
Pcdhb14	76	79	145	91	123	98	ENSMUSG00000044043	Pcdhb14	Pcdhb14	protocadherin beta 14
Pcdhb15	21	10	1	21	38	10	ENSMUSG00000047033	Pcdhb15	Pcdhb15	protocadherin beta 15
Pcdhb16	88	100	65	76	97	92	ENSMUSG00000047910	Pcdhb16	Pcdhb16	protocadherin beta 16
Pcdhb17	78	65	78	73	107	93	ENSMUSG00000046387	Pcdhb17	Pcdhb17	protocadherin beta 17
Pcdhb18	55	25	50	43	67	47	ENSMUSG00000048347	Pcdhb18	Pcdhb18	protocadherin beta 18
Pcdhb19	68	79	100	75	106	58	ENSMUSG00000043313	Pcdhb19	Pcdhb19	protocadherin beta 19
Pcdhb20	62	57	90	77	117	90	ENSMUSG00000046191	Pcdhb20	Pcdhb20	protocadherin beta 20
Pcdhb21	33	34	18	27	25	25	ENSMUSG00000044022	Pcdhb21	Pcdhb21	protocadherin beta 21
Pcdhb22	58	46	53	24	48	41	ENSMUSG00000073591	Pcdhb22	Pcdhb22	protocadherin beta 22
Taf7	43	58	96	55	77	53	ENSMUSG00000051316	Taf7	Taf7	TATA-box binding protein associated factor 7
Pcdhga1	57	59	22	16	45	34	ENSMUSG00000103144	Pcdhga1	Pcdhga1	protocadherin gamma subfamily A, 1
Pcdhga2	124	91	24	22	65	50	ENSMUSG00000103332	Pcdhga2	Pcdhga2	protocadherin gamma subfamily A, 2
Pcdhga3	78	68	53	48	77	63	ENSMUSG00000104346	Pcdhga3	Pcdhga3	protocadherin gamma subfamily A, 3
Pcdhgb1	24	38	47	23	55	79	ENSMUSG00000103037	Pcdhgb1	Pcdhgb1	protocadherin gamma subfamily B, 1
Pcdhga4	64	40	22	11	31	27	ENSMUSG00000103677	Pcdhga4	Pcdhga4	protocadherin gamma subfamily A, 4
Pcdhgb2	62	52	63	64	93	41	ENSMUSG00000102748	Pcdhgb2	Pcdhgb2	protocadherin gamma subfamily B, 2
Pcdhga5	53	53	62	35	48	49	ENSMUSG00000103567	Pcdhga5	Pcdhga5	protocadherin gamma subfamily A, 5
Pcdhga6	48	77	129	130	51	57	ENSMUSG00000103793	Pcdhga6	Pcdhga6	protocadherin gamma subfamily A, 6
Pcdhga7	48	90	120	101	52	67	ENSMUSG00000103472	Pcdhga7	Pcdhga7	protocadherin gamma subfamily A, 7
Pcdhgb4	28	24	43	69	40	51	ENSMUSG00000103585	Pcdhgb4	Pcdhgb4	protocadherin gamma subfamily B, 4
Pcdhga8	41	44	63	63	53	80	ENSMUSG00000103897	Pcdhga8	Pcdhga8	protocadherin gamma subfamily A, 8
Pcdhgb5	53	70	64	102	43	57	ENSMUSG00000103749	Pcdhgb5	Pcdhgb5	protocadherin gamma subfamily B, 5
Pcdhga9	54	58	94	60	62	71	ENSMUSG00000102440	Pcdhga9	Pcdhga9	protocadherin gamma subfamily A, 9
Pcdhgb6	72	87	91	57	76	96	ENSMUSG00000103088	Pcdhgb6	Pcdhgb6	protocadherin gamma subfamily B, 6
Pcdhga10	21	42	36	43	47	40	ENSMUSG00000102222	Pcdhga10	Pcdhga10	protocadherin gamma subfamily A, 10
Pcdhgb7	70	57	60	89	61	73	ENSMUSG00000104063	Pcdhgb7	Pcdhgb7	protocadherin gamma subfamily B, 7
Pcdhga11	54	53	48	37	54	33	ENSMUSG00000102742	Pcdhga11	Pcdhga11	protocadherin gamma subfamily A, 11
Pcdhga12	28	65	54	71	54	51	ENSMUSG00000102428	Pcdhga12	Pcdhga12	protocadherin gamma subfamily A, 12
Pcdhgc3	36	29	74	62	68	53	ENSMUSG00000102918	Pcdhgc3	Pcdhgc3	protocadherin gamma subfamily C, 3
Pcdhgc4	43	34	8	20	60	59	ENSMUSG00000023036	Pcdhgc4	Pcdhgc4	protocadherin gamma subfamily C, 4
Pcdhgc5	340	340	288	221	294	288	ENSMUSG00000102543	Pcdhgc5	Pcdhgc5	protocadherin gamma subfamily C, 5
Diaph1	234	187	152	130	142	148	ENSMUSG00000024456	Diaph1	Diaph1	diaphanous related formin 1
Hdac3	88	131	78	54	81	120	ENSMUSG00000024454	Hdac3	Hdac3	histone deacetylase 3
Rell2	45	43	61	63	63	53	ENSMUSG00000044024	Rell2	Rell2	RELT-like 2
Pcdh1	630	635	429	302	498	525	ENSMUSG00000051375	Pcdh1	Pcdh1	protocadherin 1
1700086O06Rik	37	25	62	27	53	22	ENSMUSG00000097080	1700086O06Rik	1700086O06Rik	RIKEN cDNA 1700086O06 gene
Dele1	71	57	85	71	83	70	ENSMUSG00000024442	Dele1	Dele1	DAP3 binding cell death enhancer 1
Rnf14	590	615	452	370	634	540	ENSMUSG00000060450	Rnf14	Rnf14	ring finger protein 14
Gnpda1	18	51	69	22	59	46	ENSMUSG00000052102	Gnpda1	Gnpda1	glucosamine-6-phosphate deaminase 1
Ndfip1	1152	1081	829	657	1195	1128	ENSMUSG00000024425	Ndfip1	Ndfip1	Nedd4 family interacting protein 1
Spry4	17	7	17	24	23	20	ENSMUSG00000024427	Spry4	Spry4	sprouty RTK signaling antagonist 4
Fgf1	21	17	64	32	28	57	ENSMUSG00000036585	Fgf1	Fgf1	fibroblast growth factor 1
Arhgap26	677	688	405	514	609	599	ENSMUSG00000036452	Arhgap26	Arhgap26	Rho GTPase activating protein 26
Nr3c1	461	366	357	278	328	297	ENSMUSG00000024431	Nr3c1	Nr3c1	nuclear receptor subfamily 3, group C, member 1
Yipf5	205	110	156	108	132	175	ENSMUSG00000024487	Yipf5	Yipf5	Yip1 domain family, member 5
Kctd16	143	144	321	251	216	190	ENSMUSG00000051401	Kctd16	Kctd16	potassium channel tetramerisation domain containing 16
Sh3rf2	68	55	169	204	68	80	ENSMUSG00000057719	Sh3rf2	Sh3rf2	SH3 domain containing ring finger 2
Lars	125	108	151	132	121	119	ENSMUSG00000024493	Lars	Lars	leucyl-tRNA synthetase
Rbm27	405	281	264	234	356	218	ENSMUSG00000024491	Rbm27	Rbm27	RNA binding motif protein 27
Tcerg1	285	253	306	227	361	264	ENSMUSG00000024498	Tcerg1	Tcerg1	transcription elongation regulator 1 (CA150)
Ppp2r2b	269	204	171	163	263	152	ENSMUSG00000024500	Ppp2r2b	Ppp2r2b	protein phosphatase 2, regulatory subunit B, beta
Stk32a	22	22	138	111	56	38	ENSMUSG00000039954	Stk32a	Stk32a	serine/threonine kinase 32A
Dpysl3	158	112	19	45	100	60	ENSMUSG00000024501	Dpysl3	Dpysl3	dihydropyrimidinase-like 3
Jakmip2	402	241	394	360	350	394	ENSMUSG00000024502	Jakmip2	Jakmip2	janus kinase and microtubule interacting protein 2
Dcp2	388	343	189	158	247	198	ENSMUSG00000024472	Dcp2	Dcp2	decapping mRNA 2
Mcc	34	36	26	58	26	35	ENSMUSG00000071856	Mcc	Mcc	mutated in colorectal cancers
Ythdc2	313	208	424	329	354	270	ENSMUSG00000034653	Ythdc2	Ythdc2	YTH domain containing 2
Kcnn2	104	111	156	159	158	117	ENSMUSG00000054477	Kcnn2	Kcnn2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2
Pggt1b	194	165	169	132	234	149	ENSMUSG00000024477	Pggt1b	Pggt1b	protein geranylgeranyltransferase type I, beta subunit
Ccdc112	268	158	162	88	160	145	ENSMUSG00000071855	Ccdc112	Ccdc112	coiled-coil domain containing 112
Fem1c	197	197	291	200	185	145	ENSMUSG00000033319	Fem1c	Fem1c	fem 1 homolog c
Tmed7	706	546	417	443	718	591	ENSMUSG00000033184	Tmed7	Tmed7	transmembrane p24 trafficking protein 7
Eif1a	244	236	101	118	152	100	ENSMUSG00000057561	Eif1a	Eif1a	eukaryotic translation initiation factor 1A
Cdo1	178	154	81	33	73	71	ENSMUSG00000033022	Cdo1	Cdo1	cysteine dioxygenase 1, cytosolic
Atg12	253	232	187	147	228	200	ENSMUSG00000032905	Atg12	Atg12	autophagy related 12
Ap3s1	82	82	118	83	85	85	ENSMUSG00000024480	Ap3s1	Ap3s1	adaptor-related protein complex 3, sigma 1 subunit
Commd10	64	59	44	66	58	56	ENSMUSG00000042705	Commd10	Commd10	COMM domain containing 10
Hspe1-rs1	13	8	4	15	6	2	ENSMUSG00000117621	Hspe1-rs1	Hspe1-rs1	heat shock protein 1 (chaperonin 10), related sequence 1
Sema6a	190	194	91	87	187	213	ENSMUSG00000019647	Sema6a	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
Eno1b	6	7	7	9	6	13	ENSMUSG00000059040	Eno1b	Eno1b	enolase 1B, retrotransposed
Dtwd2	31	33	26	12	44	3	ENSMUSG00000024505	Dtwd2	Dtwd2	DTW domain containing 2
Dmxl1	755	609	853	775	923	760	ENSMUSG00000037416	Dmxl1	Dmxl1	Dmx-like 1
Tnfaip8	26	24	1	0	7	9	ENSMUSG00000062210	Tnfaip8	Tnfaip8	tumor necrosis factor, alpha-induced protein 8
Hsd17b4	103	124	129	80	128	132	ENSMUSG00000024507	Hsd17b4	Hsd17b4	hydroxysteroid (17-beta) dehydrogenase 4
Prr16	82	59	18	23	39	47	ENSMUSG00000073565	Prr16	Prr16	proline rich 16
Srfbp1	92	58	68	70	92	55	ENSMUSG00000024528	Srfbp1	Srfbp1	serum response factor binding protein 1
Sncaip	40	34	84	49	69	72	ENSMUSG00000024534	Sncaip	Sncaip	synuclein, alpha interacting protein (synphilin)
Snx2	261	172	255	178	183	134	ENSMUSG00000034484	Snx2	Snx2	sorting nexin 2
Snx24	22	26	21	21	25	24	ENSMUSG00000024535	Snx24	Snx24	sorting nexing 24
Cep120	326	313	215	230	268	288	ENSMUSG00000048799	Cep120	Cep120	centrosomal protein 120
Csnk1g3	419	321	376	311	385	289	ENSMUSG00000073563	Csnk1g3	Csnk1g3	casein kinase 1, gamma 3
Zfp608	208	129	84	112	118	92	ENSMUSG00000052713	Zfp608	Zfp608	zinc finger protein 608
Aldh7a1	65	68	86	60	85	64	ENSMUSG00000053644	Aldh7a1	Aldh7a1	aldehyde dehydrogenase family 7, member A1
Phax	100	107	61	53	80	61	ENSMUSG00000008301	Phax	Phax	phosphorylated adaptor for RNA export
Lmnb1	25	17	60	18	43	41	ENSMUSG00000024590	Lmnb1	Lmnb1	lamin B1
Marchf3	35	54	18	14	14	36	ENSMUSG00000032656	Marchf3	Marchf3	membrane associated ring-CH-type finger 3
C330018D20Rik	31	8	48	13	52	31	ENSMUSG00000024592	C330018D20Rik	C330018D20Rik	RIKEN cDNA C330018D20 gene
Megf10	14	47	21	47	83	47	ENSMUSG00000024593	Megf10	Megf10	multiple EGF-like-domains 10
Prrc1	52	25	47	19	60	75	ENSMUSG00000024594	Prrc1	Prrc1	proline-rich coiled-coil 1
Slc12a2	161	173	173	208	290	208	ENSMUSG00000024597	Slc12a2	Slc12a2	solute carrier family 12, member 2
Fbn2	2	1	43	44	35	44	ENSMUSG00000024598	Fbn2	Fbn2	fibrillin 2
Isoc1	73	61	88	69	121	89	ENSMUSG00000024601	Isoc1	Isoc1	isochorismatase domain containing 1
Minar2	215	140	169	93	244	122	ENSMUSG00000050875	Minar2	Minar2	membrane integral NOTCH2 associated receptor 2
Chsy3	234	169	273	251	264	189	ENSMUSG00000058152	Chsy3	Chsy3	chondroitin sulfate synthase 3
Dctn4	355	397	283	275	358	230	ENSMUSG00000024603	Dctn4	Dctn4	dynactin 4
Rbm22	86	112	76	70	101	84	ENSMUSG00000024604	Rbm22	Rbm22	RNA binding motif protein 22
Synpo	248	249	403	300	256	231	ENSMUSG00000043079	Synpo	Synpo	synaptopodin
Ndst1	154	167	240	171	171	170	ENSMUSG00000054008	Ndst1	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
Rps14	67	63	96	60	98	78	ENSMUSG00000024608	Rps14	Rps14	ribosomal protein S14
Tcof1	67	65	47	20	44	51	ENSMUSG00000024613	Tcof1	Tcof1	treacle ribosome biogenesis factor 1
Camk2a	1026	999	1145	1243	961	851	ENSMUSG00000024617	Camk2a	Camk2a	calcium/calmodulin-dependent protein kinase II alpha
Mir7220	0	6	4	10	5	12	ENSMUSG00000098247	Mir7220	Mir7220	microRNA 7220
Slc6a7	21	22	12	19	16	35	ENSMUSG00000052026	Slc6a7	Slc6a7	solute carrier family 6 (neurotransmitter transporter, L-proline), member 7
Pdgfrb	0	6	5	15	14	2	ENSMUSG00000024620	Pdgfrb	Pdgfrb	platelet derived growth factor receptor, beta polypeptide
Csf1r	19	23	72	64	47	27	ENSMUSG00000024621	Csf1r	Csf1r	colony stimulating factor 1 receptor
Hmgxb3	120	137	157	148	134	178	ENSMUSG00000024622	Hmgxb3	Hmgxb3	HMG box domain containing 3
Slc26a2	75	43	60	52	59	38	ENSMUSG00000034320	Slc26a2	Slc26a2	solute carrier family 26 (sulfate transporter), member 2
Ppargc1b	88	118	83	103	101	85	ENSMUSG00000033871	Ppargc1b	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta
Csnk1a1	1037	1085	1190	1139	1118	1074	ENSMUSG00000024576	Csnk1a1	Csnk1a1	casein kinase 1, alpha 1
Pcyox1l	31	41	37	27	65	45	ENSMUSG00000024579	Pcyox1l	Pcyox1l	prenylcysteine oxidase 1 like
Grpel2	93	60	94	48	107	87	ENSMUSG00000024580	Grpel2	Grpel2	GrpE-like 2, mitochondrial
1500015A07Rik	22	26	21	16	14	17	ENSMUSG00000098702	1500015A07Rik	1500015A07Rik	RIKEN cDNA 1500015A07 gene
Afap1l1	13	0	1	18	3	15	ENSMUSG00000033032	Afap1l1	Afap1l1	actin filament associated protein 1-like 1
Ablim3	79	90	44	36	69	52	ENSMUSG00000032735	Ablim3	Ablim3	actin binding LIM protein family, member 3
Htr4	78	64	20	11	55	32	ENSMUSG00000026322	Htr4	Htr4	5 hydroxytryptamine (serotonin) receptor 4
Fbxo38	226	253	216	136	215	189	ENSMUSG00000042211	Fbxo38	Fbxo38	F-box protein 38
Spink10	21	17	28	24	14	10	ENSMUSG00000044176	Spink10	Spink10	serine peptidase inhibitor, Kazal type 10
Apcdd1	4	10	14	6	0	4	ENSMUSG00000071847	Apcdd1	Apcdd1	adenomatosis polyposis coli down-regulated 1
Napg	484	438	372	200	373	286	ENSMUSG00000024581	Napg	Napg	N-ethylmaleimide sensitive fusion protein attachment protein gamma
Txnl1	238	173	195	173	274	173	ENSMUSG00000024583	Txnl1	Txnl1	thioredoxin-like 1
Wdr7	669	672	592	448	671	518	ENSMUSG00000040560	Wdr7	Wdr7	WD repeat domain 7
St8sia3	1192	1121	1775	1377	1553	1377	ENSMUSG00000056812	St8sia3	St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
Onecut2	18	52	586	350	99	95	ENSMUSG00000045991	Onecut2	Onecut2	one cut domain, family member 2
Fech	162	173	150	150	178	159	ENSMUSG00000024588	Fech	Fech	ferrochelatase
Nars	265	315	222	209	284	213	ENSMUSG00000024587	Nars	Nars	asparaginyl-tRNA synthetase
Nedd4l	781	1042	2086	1835	1472	1094	ENSMUSG00000024589	Nedd4l	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like
Malt1	42	58	95	88	139	81	ENSMUSG00000032688	Malt1	Malt1	MALT1 paracaspase
Zfp532	207	216	193	191	248	221	ENSMUSG00000042439	Zfp532	Zfp532	zinc finger protein 532
Oacyl	2	0	12	4	15	1	ENSMUSG00000046610	Oacyl	Oacyl	O-acyltransferase like
Sec11c	102	68	83	32	84	53	ENSMUSG00000024516	Sec11c	Sec11c	SEC11 homolog C, signal peptidase complex subunit
Lman1	111	143	148	95	180	154	ENSMUSG00000041891	Lman1	Lman1	lectin, mannose-binding, 1
Mc4r	11	21	6	3	14	14	ENSMUSG00000047259	Mc4r	Mc4r	melanocortin 4 receptor
Gnal	1780	1603	2603	2100	2245	1767	ENSMUSG00000024524	Gnal	Gnal	guanine nucleotide binding protein, alpha stimulating, olfactory type
Chmp1b	88	88	258	301	133	105	ENSMUSG00000109901	Chmp1b	Chmp1b	charged multivesicular body protein 1B
Mppe1	25	23	76	46	41	22	ENSMUSG00000062526	Mppe1	Mppe1	metallophosphoesterase 1
Impa2	22	13	16	14	22	10	ENSMUSG00000024525	Impa2	Impa2	inositol monophosphatase 2
Afg3l2	242	241	282	180	249	246	ENSMUSG00000024527	Afg3l2	Afg3l2	AFG3-like AAA ATPase 2
Prelid3a	44	40	97	80	97	41	ENSMUSG00000024530	Prelid3a	Prelid3a	PRELI domain containing 3A
Spire1	352	362	354	323	418	288	ENSMUSG00000024533	Spire1	Spire1	spire type actin nucleation factor 1
Cep76	69	30	13	20	30	18	ENSMUSG00000073542	Cep76	Cep76	centrosomal protein 76
Psmg2	25	30	31	58	47	40	ENSMUSG00000024537	Psmg2	Psmg2	proteasome (prosome, macropain) assembly chaperone 2
Ptpn2	61	100	83	70	98	63	ENSMUSG00000024539	Ptpn2	Ptpn2	protein tyrosine phosphatase, non-receptor type 2
Seh1l	85	76	131	68	127	89	ENSMUSG00000079614	Seh1l	Seh1l	SEH1-like (S. cerevisiae
Cep192	46	35	50	23	55	39	ENSMUSG00000024542	Cep192	Cep192	centrosomal protein 192
Ldlrad4	80	25	124	109	41	62	ENSMUSG00000024544	Ldlrad4	Ldlrad4	low density lipoprotein receptor class A domain containing 4
Fam210a	189	166	178	138	224	221	ENSMUSG00000038121	Fam210a	Fam210a	family with sequence similarity 210, member A
Rnmt	575	493	293	252	453	357	ENSMUSG00000009535	Rnmt	Rnmt	RNA (guanine-7-) methyltransferase
Tcf4	313	220	469	398	458	420	ENSMUSG00000053477	Tcf4	Tcf4	transcription factor 4
Rab27b	408	270	278	223	400	391	ENSMUSG00000024511	Rab27b	Rab27b	RAB27B, member RAS oncogene family
4930503L19Rik	77	56	140	139	84	66	ENSMUSG00000044906	4930503L19Rik	4930503L19Rik	RIKEN cDNA 4930503L19 gene
Poli	45	56	42	38	55	23	ENSMUSG00000038425	Poli	Poli	polymerase (DNA directed), iota
Mbd2	92	131	205	189	154	114	ENSMUSG00000024513	Mbd2	Mbd2	methyl-CpG binding domain protein 2
Dcc	261	248	690	557	478	420	ENSMUSG00000060534	Dcc	Dcc	deleted in colorectal carcinoma
Mex3c	134	149	103	116	159	77	ENSMUSG00000037253	Mex3c	Mex3c	mex3 RNA binding family member C
Smad4	221	201	299	308	236	181	ENSMUSG00000024515	Smad4	Smad4	SMAD family member 4
Elac1	137	117	64	34	99	83	ENSMUSG00000036941	Elac1	Elac1	elaC ribonuclease Z 1
Me2	107	69	171	153	89	53	ENSMUSG00000024556	Me2	Me2	malic enzyme 2, NAD(+)-dependent, mitochondrial
Mro	12	22	29	12	10	2	ENSMUSG00000064036	Mro	Mro	maestro
Mapk4	193	178	235	185	164	137	ENSMUSG00000024558	Mapk4	Mapk4	mitogen-activated protein kinase 4
Cxxc1	33	28	54	57	50	41	ENSMUSG00000024560	Cxxc1	Cxxc1	CXXC finger 1 (PHD domain)
Mbd1	135	139	83	88	135	128	ENSMUSG00000024561	Mbd1	Mbd1	methyl-CpG binding domain protein 1
Myo5b	162	271	121	130	132	57	ENSMUSG00000025885	Myo5b	Myo5b	myosin VB
Gm23119	94	121	33	86	94	46	ENSMUSG00000089235	Gm23119	Gm23119	predicted gene, 23119
Acaa2	9	32	25	13	19	23	ENSMUSG00000036880	Acaa2	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
Rpl17	221	133	162	123	164	139	ENSMUSG00000062328	Rpl17	Rpl17	ribosomal protein L17
BC031181	189	186	134	119	192	150	ENSMUSG00000036299	BC031181	BC031181	cDNA sequence BC031181
Dym	243	164	238	193	141	171	ENSMUSG00000035765	Dym	Dym	dymeclin
Smad7	53	43	64	44	47	61	ENSMUSG00000025880	Smad7	Smad7	SMAD family member 7
Ctif	115	139	64	44	109	89	ENSMUSG00000052928	Ctif	Ctif	CBP80/20-dependent translation initiation factor
Zbtb7c	21	19	2	4	37	25	ENSMUSG00000044646	Zbtb7c	Zbtb7c	zinc finger and BTB domain containing 7C
Smad2	127	162	140	117	153	107	ENSMUSG00000024563	Smad2	Smad2	SMAD family member 2
Ier3ip1	89	31	53	39	58	66	ENSMUSG00000090000	Ier3ip1	Ier3ip1	immediate early response 3 interacting protein 1
Hdhd2	193	148	133	140	126	112	ENSMUSG00000025421	Hdhd2	Hdhd2	haloacid dehalogenase-like hydrolase domain containing 2
Katnal2	31	25	36	16	27	26	ENSMUSG00000025420	Katnal2	Katnal2	katanin p60 subunit A-like 2
Pias2	257	259	323	288	233	255	ENSMUSG00000025423	Pias2	Pias2	protein inhibitor of activated STAT 2
St8sia5	24	31	21	23	15	20	ENSMUSG00000025425	St8sia5	St8sia5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
Rnf165	193	178	207	166	141	134	ENSMUSG00000025427	Rnf165	Rnf165	ring finger protein 165
8030462N17Rik	268	323	395	295	309	271	ENSMUSG00000047466	8030462N17Rik	8030462N17Rik	RIKEN cDNA 8030462N17 gene
Haus1	5	4	13	16	24	15	ENSMUSG00000041840	Haus1	Haus1	HAUS augmin-like complex, subunit 1
Atp5a1	1075	1199	863	754	889	919	ENSMUSG00000025428	Atp5a1	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1
Pstpip2	0	3	24	5	9	12	ENSMUSG00000025429	Pstpip2	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2
Epg5	178	188	222	241	204	203	ENSMUSG00000039840	Epg5	Epg5	ectopic P-granules autophagy protein 5 homolog (C. elegans)
Slc14a1	13	4	8	4	0	12	ENSMUSG00000059336	Slc14a1	Slc14a1	solute carrier family 14 (urea transporter), member 1
Setbp1	187	242	188	136	172	155	ENSMUSG00000024548	Setbp1	Setbp1	SET binding protein 1
Pard6g	12	4	17	32	16	16	ENSMUSG00000056214	Pard6g	Pard6g	par-6 family cell polarity regulator gamma
Adnp2	107	65	73	72	93	49	ENSMUSG00000053950	Adnp2	Adnp2	ADNP homeobox 2
Rbfa	37	26	17	25	19	28	ENSMUSG00000024570	Rbfa	Rbfa	ribosome binding factor A
Naa12	177	146	131	95	102	91	ENSMUSG00000024571	Naa12	Txnl4a	thioredoxin-like 4A
Txnl4a	45	36	20	17	34	55	ENSMUSG00000057130	Txnl4a	Txnl4a	thioredoxin-like 4A
Slc66a2	32	30	8	8	22	29	ENSMUSG00000034006	Slc66a2	Slc66a2	solute carrier family 66 member 2
Kcng2	22	11	0	3	2	15	ENSMUSG00000059852	Kcng2	Kcng2	potassium voltage-gated channel, subfamily G, member 2
Ctdp1	66	56	41	41	65	53	ENSMUSG00000033323	Ctdp1	Ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1
Atp9b	325	294	439	278	419	267	ENSMUSG00000024566	Atp9b	Atp9b	ATPase, class II, type 9B
Sall3	4	2	1	13	3	10	ENSMUSG00000024565	Sall3	Sall3	spalt like transcription factor 3
Galr1	13	1	28	6	13	15	ENSMUSG00000024553	Galr1	Galr1	galanin receptor 1
Mbp	373	360	1001	804	683	648	ENSMUSG00000041607	Mbp	Mbp	myelin basic protein
Zfp236	183	205	251	206	234	193	ENSMUSG00000041258	Zfp236	Zfp236	zinc finger protein 236
Zfp516	77	108	142	69	92	126	ENSMUSG00000058881	Zfp516	Zfp516	zinc finger protein 516
Tshz1	416	331	213	222	459	436	ENSMUSG00000046982	Tshz1	Tshz1	teashirt zinc finger family member 1
Zadh2	61	60	89	68	105	76	ENSMUSG00000049090	Zadh2	Zadh2	zinc binding alcohol dehydrogenase, domain containing 2
Zfp407	205	258	264	237	220	188	ENSMUSG00000048410	Zfp407	Zfp407	zinc finger protein 407
Cndp2	51	31	33	18	25	37	ENSMUSG00000024644	Cndp2	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)
Cyb5a	64	80	97	118	117	74	ENSMUSG00000024646	Cyb5a	Cyb5a	cytochrome b5 type A (microsomal)
Timm21	13	34	40	43	55	40	ENSMUSG00000024645	Timm21	Timm21	translocase of inner mitochondrial membrane 21
Neto1	1264	1233	1617	1407	1484	1166	ENSMUSG00000050321	Neto1	Neto1	neuropilin (NRP) and tolloid (TLL)-like 1
Cbln2	49	22	6	19	7	22	ENSMUSG00000024647	Cbln2	Cbln2	cerebellin 2 precursor protein
Socs6	95	88	119	100	130	111	ENSMUSG00000056153	Socs6	Socs6	suppressor of cytokine signaling 6
Rttn	5	13	100	60	95	60	ENSMUSG00000023066	Rttn	Rttn	rotatin
Dok6	428	378	360	378	596	413	ENSMUSG00000073514	Dok6	Dok6	docking protein 6
Tmx3	416	422	444	409	514	425	ENSMUSG00000024614	Tmx3	Tmx3	thioredoxin-related transmembrane protein 3
Gm45871	52	58	88	35	81	31	ENSMUSG00000110277	Gm45871	Gm45871	predicted gene 45871
Ighmbp2	13	37	35	14	28	32	ENSMUSG00000024831	Ighmbp2	Ighmbp2	immunoglobulin mu binding protein 2
Mrpl21	23	35	27	24	51	46	ENSMUSG00000024829	Mrpl21	Mrpl21	mitochondrial ribosomal protein L21
Cpt1a	0	6	27	29	25	14	ENSMUSG00000024900	Cpt1a	Cpt1a	carnitine palmitoyltransferase 1a, liver
Ppp6r3	374	375	320	350	399	357	ENSMUSG00000024908	Ppp6r3	Ppp6r3	protein phosphatase 6, regulatory subunit 3
1810055G02Rik	55	13	55	38	33	20	ENSMUSG00000035372	1810055G02Rik	1810055G02Rik	RIKEN cDNA 1810055G02 gene
Kmt5b	314	268	408	302	365	332	ENSMUSG00000045098	Kmt5b	Kmt5b	lysine methyltransferase 5B
Chka	293	217	426	338	302	291	ENSMUSG00000024843	Chka	Chka	choline kinase alpha
Ndufs8	58	61	63	81	43	70	ENSMUSG00000059734	Ndufs8	Ndufs8	NADH:ubiquinone oxidoreductase core subunit S8
Ndufv1	155	148	108	105	102	119	ENSMUSG00000037916	Ndufv1	Ndufv1	NADH:ubiquinone oxidoreductase core subunit V1
Gstp1	75	61	62	25	65	53	ENSMUSG00000060803	Gstp1	Gstp1	glutathione S-transferase, pi 1
Cdk2ap2	16	10	5	13	13	17	ENSMUSG00000024856	Cdk2ap2	Cdk2ap2	CDK2-associated protein 2
Pitpnm1	130	173	101	91	139	148	ENSMUSG00000024851	Pitpnm1	Pitpnm1	phosphatidylinositol transfer protein, membrane-associated 1
Aip	48	39	67	16	29	37	ENSMUSG00000024847	Aip	Aip	aryl-hydrocarbon receptor-interacting protein
Tmem134	12	18	35	6	11	18	ENSMUSG00000024845	Tmem134	Tmem134	transmembrane protein 134
Coro1b	15	26	34	34	48	34	ENSMUSG00000024835	Coro1b	Coro1b	coronin, actin binding protein 1B
Rps6kb2	12	15	31	51	21	21	ENSMUSG00000024830	Rps6kb2	Rps6kb2	ribosomal protein S6 kinase, polypeptide 2
Ppp1ca	104	142	270	195	161	139	ENSMUSG00000040385	Ppp1ca	Ppp1ca	protein phosphatase 1 catalytic subunit alpha
